customerID,Prediction_Date,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Model_used,Churn,Probability
2065-MMKGR,2024-08-30,Female,No,No,No,29,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),71.0,2080.1,Gradient Boost Classifier,Yes,13.73
5857-TYBCJ,2024-08-30,Male,Yes,Yes,No,44,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,89.2,4040.2,Gradient Boost Classifier,Yes,50.41
1498-NHTLT,2024-08-30,Male,No,Yes,Yes,59,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,86.75,5186.0,Gradient Boost Classifier,No,2.61
4484-CGXFK,2024-08-30,Female,No,No,No,3,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.3,196.15,Gradient Boost Classifier,Yes,51.27
1402-PTHGN,2024-08-30,Female,No,Yes,Yes,18,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,61.5,1087.45,Gradient Boost Classifier,No,5.5
4176-RELJR,2024-08-30,Male,Yes,No,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.1,1672.15,Gradient Boost Classifier,No,2.0
6214-EDAKZ,2024-08-30,Female,No,Yes,Yes,22,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,55.15,1206.05,Gradient Boost Classifier,No,11.63
5199-FPUSP,2024-08-30,Male,No,No,Yes,33,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,No,Credit card (automatic),34.05,1113.95,Gradient Boost Classifier,No,4.76
6377-KSLXC,2024-08-30,Male,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,107.05,Gradient Boost Classifier,Yes,12.32
1796-JANOW,2024-08-30,Female,No,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,38.15,Gradient Boost Classifier,Yes,15.53
0238-WHBIQ,2024-08-30,Male,No,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.7,6339.3,Gradient Boost Classifier,No,1.34
8735-NBLWT,2024-08-30,Male,No,No,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.4,184.1,Gradient Boost Classifier,No,10.95
6651-RLGGM,2024-08-30,Male,No,Yes,Yes,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,26.3,1688.9,Gradient Boost Classifier,No,1.6
6127-ISGTU,2024-08-30,Female,No,Yes,No,16,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.95,1378.25,Gradient Boost Classifier,Yes,70.05
1614-JBEBI,2024-08-30,Female,No,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.7,137.6,Gradient Boost Classifier,Yes,14.86
8740-XLHDR,2024-08-30,Male,No,No,No,5,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,43.25,219.0,Gradient Boost Classifier,Yes,23.81
1208-DNHLN,2024-08-30,Male,No,Yes,Yes,23,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),48.35,1067.15,Gradient Boost Classifier,No,9.84
1761-AEZZR,2024-08-30,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.55,79.55,Gradient Boost Classifier,Yes,86.63
3923-CSIHK,2024-08-30,Female,Yes,Yes,No,50,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,71.05,3444.85,Gradient Boost Classifier,Yes,45.4
5696-EXCYS,2024-08-30,Male,No,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.45,369.05,Gradient Boost Classifier,No,2.54
5795-KTGUD,2024-08-30,Female,No,Yes,No,68,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.8,7553.6,Gradient Boost Classifier,No,9.16
7120-RFMVS,2024-08-30,Male,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,84.5,84.5,Gradient Boost Classifier,Yes,79.58
7924-GJZFI,2024-08-30,Female,Yes,Yes,No,25,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.3,1813.1,Gradient Boost Classifier,Yes,48.58
4702-HDRKD,2024-08-30,Male,No,No,No,67,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),49.35,3321.35,Gradient Boost Classifier,No,6.4
8512-WIWYV,2024-08-30,Male,No,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.35,707.5,Gradient Boost Classifier,No,4.16
5897-ZYEKH,2024-08-30,Female,Yes,Yes,No,67,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,105.6,7112.15,Gradient Boost Classifier,Yes,21.46
5456-ITGIC,2024-08-30,Male,Yes,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),64.45,4641.1,Gradient Boost Classifier,No,2.2
7317-GGVPB,2024-08-30,Male,No,Yes,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),108.6,7690.9,Gradient Boost Classifier,No,7.84
1406-PUQVY,2024-08-30,Male,No,No,Yes,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,49.9,49.9,Gradient Boost Classifier,Yes,56.32
1322-AGOQM,2024-08-30,Male,No,No,No,46,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),30.3,1380.1,Gradient Boost Classifier,Yes,17.27
3677-IYRBF,2024-08-30,Female,Yes,No,No,2,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,30.4,78.65,Gradient Boost Classifier,Yes,75.07
5692-FPTAH,2024-08-30,Female,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.4,45.4,Gradient Boost Classifier,Yes,57.44
9114-AAFQH,2024-08-30,Female,No,Yes,No,48,Yes,No,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,65.65,3094.65,Gradient Boost Classifier,No,11.0
8715-KKTFG,2024-08-30,Female,No,Yes,No,61,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),103.3,6518.35,Gradient Boost Classifier,Yes,19.94
1550-LOAHA,2024-08-30,Female,No,Yes,No,32,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.15,2585.95,Gradient Boost Classifier,Yes,31.56
1728-BQDMA,2024-08-30,Female,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.45,82.7,Gradient Boost Classifier,Yes,42.4
0268-QKIWO,2024-08-30,Female,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.75,58.85,Gradient Boost Classifier,Yes,15.86
0876-WDUUZ,2024-08-30,Female,No,No,No,5,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),85.4,425.9,Gradient Boost Classifier,Yes,50.96
5117-ZSMHQ,2024-08-30,Female,No,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),89.9,6342.7,Gradient Boost Classifier,No,1.37
5151-HQRDG,2024-08-30,Male,No,Yes,No,37,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,55.05,2030.75,Gradient Boost Classifier,Yes,14.07
0960-HUWBM,2024-08-30,Male,No,Yes,Yes,65,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),104.1,6700.05,Gradient Boost Classifier,No,9.1
6465-GSRCL,2024-08-30,Female,No,No,Yes,67,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),106.6,7244.7,Gradient Boost Classifier,Yes,23.14
0617-FHSGK,2024-08-30,Male,No,No,Yes,49,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),75.2,3678.3,Gradient Boost Classifier,Yes,28.78
0263-FJTQO,2024-08-30,Male,No,Yes,Yes,50,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),70.5,3486.65,Gradient Boost Classifier,No,2.25
7319-ZNRTR,2024-08-30,Male,No,Yes,Yes,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,19.6,411.15,Gradient Boost Classifier,No,5.08
2858-MOFSQ,2024-08-30,Female,No,No,Yes,17,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Mailed check,55.85,937.5,Gradient Boost Classifier,Yes,14.28
7503-EPSZW,2024-08-30,Female,No,Yes,Yes,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24.05,1559.15,Gradient Boost Classifier,No,1.89
7089-XXAYG,2024-08-30,Male,No,Yes,No,25,No,No phone service,DSL,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),38.1,970.4,Gradient Boost Classifier,Yes,13.34
8118-LSUEL,2024-08-30,Male,Yes,No,No,23,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.4,2483.5,Gradient Boost Classifier,Yes,64.77
8070-AAWZP,2024-08-30,Male,Yes,Yes,No,24,No,No phone service,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,34.25,828.2,Gradient Boost Classifier,Yes,21.16
1666-JXLKU,2024-08-30,Female,No,No,No,37,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.05,3810.55,Gradient Boost Classifier,Yes,62.06
7855-DIWPO,2024-08-30,Female,No,No,No,21,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,68.65,1493.2,Gradient Boost Classifier,Yes,51.6
5133-POWUA,2024-08-30,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.8,45.8,Gradient Boost Classifier,Yes,56.73
5652-MSDEY,2024-08-30,Female,No,No,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,75.75,777.3,Gradient Boost Classifier,Yes,60.24
7005-CCBKV,2024-08-30,Male,No,No,No,6,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.4,556.35,Gradient Boost Classifier,Yes,63.59
1810-BOHSY,2024-08-30,Male,No,Yes,No,51,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),96.4,4911.05,Gradient Boost Classifier,Yes,14.6
1784-BXEFA,2024-08-30,Female,No,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.55,187.35,Gradient Boost Classifier,Yes,13.67
7351-MHQVU,2024-08-30,Female,No,No,No,6,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),50.95,307.6,Gradient Boost Classifier,Yes,19.27
9224-VTYID,2024-08-30,Male,No,Yes,Yes,47,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,90.5,4318.35,Gradient Boost Classifier,No,2.14
9500-IWPXQ,2024-08-30,Female,No,Yes,Yes,61,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,79.4,4820.55,Gradient Boost Classifier,No,5.13
5762-TJXGK,2024-08-30,Female,No,No,No,52,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),58.75,3038.55,Gradient Boost Classifier,No,4.09
4504-YOULA,2024-08-30,Female,No,Yes,Yes,35,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),59.45,2136.9,Gradient Boost Classifier,Yes,12.38
5569-IDSEY,2024-08-30,Male,No,Yes,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),105.7,7472.15,Gradient Boost Classifier,Yes,21.06
4250-FDVOU,2024-08-30,Female,No,No,No,6,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,56.25,389.1,Gradient Boost Classifier,Yes,16.9
7284-ZZLOH,2024-08-30,Male,No,Yes,No,45,Yes,No,DSL,Yes,No,Yes,No,No,No,Two year,No,Credit card (automatic),53.3,2296.25,Gradient Boost Classifier,No,1.91
5277-ZLOOR,2024-08-30,Female,Yes,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.55,187.45,Gradient Boost Classifier,Yes,85.02
2141-RRYGO,2024-08-30,Female,No,No,No,4,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),68.65,261.25,Gradient Boost Classifier,Yes,34.41
1777-JYQPJ,2024-08-30,Male,No,No,No,2,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,38.45,Gradient Boost Classifier,Yes,45.13
6376-GAHQE,2024-08-30,Male,No,No,No,4,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,77.85,299.2,Gradient Boost Classifier,Yes,58.88
3401-URHDA,2024-08-30,Male,No,No,No,51,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,No,Credit card (automatic),59.9,3043.6,Gradient Boost Classifier,No,4.5
1599-EAHXY,2024-08-30,Male,No,Yes,Yes,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),23.95,1506.4,Gradient Boost Classifier,No,3.61
8631-XVRZL,2024-08-30,Male,No,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.15,163.7,Gradient Boost Classifier,No,7.47
5052-PNLOS,2024-08-30,Male,No,No,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),105.35,323.25,Gradient Boost Classifier,Yes,75.08
3853-LYGAM,2024-08-30,Male,No,No,No,17,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),95.65,1640.0,Gradient Boost Classifier,Yes,56.41
6979-ZNSFF,2024-08-30,Female,No,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,87.05,762.1,Gradient Boost Classifier,Yes,75.86
5751-USDBL,2024-08-30,Male,No,Yes,Yes,46,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,81.0,3846.35,Gradient Boost Classifier,No,1.92
5680-LQOGP,2024-08-30,Female,No,No,No,68,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),82.45,5646.6,Gradient Boost Classifier,No,2.78
2386-LAHRK,2024-08-30,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,53.5,53.5,Gradient Boost Classifier,Yes,54.25
8189-DUKMV,2024-08-30,Female,No,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.5,79.05,Gradient Boost Classifier,No,7.97
6032-IGALN,2024-08-30,Female,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,25.1,25.1,Gradient Boost Classifier,Yes,61.85
9931-DCEZH,2024-08-30,Male,No,No,Yes,28,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),54.4,1516.6,Gradient Boost Classifier,No,6.26
1898-JSNDC,2024-08-30,Female,No,No,No,39,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),58.6,2224.5,Gradient Boost Classifier,No,9.26
0315-LVCRK,2024-08-30,Male,No,No,No,11,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,84.8,888.75,Gradient Boost Classifier,Yes,55.21
3911-RSNHI,2024-08-30,Female,No,Yes,No,71,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),61.4,4310.35,Gradient Boost Classifier,No,2.87
2410-CIYFZ,2024-08-30,Male,No,No,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.4,42.9,Gradient Boost Classifier,Yes,13.66
4248-HCETZ,2024-08-30,Male,Yes,Yes,No,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.65,2365.15,Gradient Boost Classifier,Yes,36.94
5505-OVWQW,2024-08-30,Female,No,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.15,353.65,Gradient Boost Classifier,No,5.21
7271-AJDTL,2024-08-30,Female,No,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),94.45,5073.1,Gradient Boost Classifier,Yes,37.14
1867-TJHTS,2024-08-30,Female,No,No,No,58,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.8,4526.85,Gradient Boost Classifier,Yes,28.79
0516-WJVXC,2024-08-30,Female,No,No,No,5,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,54.2,308.25,Gradient Boost Classifier,Yes,21.42
9174-FKWZE,2024-08-30,Female,Yes,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.45,19.45,Gradient Boost Classifier,Yes,55.48
6860-YRJZP,2024-08-30,Male,Yes,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.05,678.45,Gradient Boost Classifier,Yes,72.8
4429-WYGFR,2024-08-30,Male,No,No,No,26,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),49.15,1237.3,Gradient Boost Classifier,No,11.7
2817-LVCPP,2024-08-30,Female,No,No,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1023.95,Gradient Boost Classifier,No,1.97
5038-ETMLM,2024-08-30,Female,No,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),113.65,8182.75,Gradient Boost Classifier,No,4.42
5056-FIMPT,2024-08-30,Female,No,No,Yes,43,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),106.0,4532.3,Gradient Boost Classifier,Yes,25.68
4521-WFJAI,2024-08-30,Male,No,No,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25.95,1444.05,Gradient Boost Classifier,No,2.2
6569-KTMDU,2024-08-30,Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.1,19.1,Gradient Boost Classifier,Yes,28.47
8809-RIHDD,2024-08-30,Male,No,Yes,Yes,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,103.4,7372.65,Gradient Boost Classifier,No,10.05
8809-XKHMD,2024-08-30,Male,No,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),100.55,7325.1,Gradient Boost Classifier,No,3.0
0396-YCHWO,2024-08-30,Male,No,Yes,No,36,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.4,3474.2,Gradient Boost Classifier,Yes,58.28
0867-LDTTC,2024-08-30,Male,No,No,No,5,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),75.15,392.65,Gradient Boost Classifier,Yes,25.18
4822-NGOCH,2024-08-30,Female,No,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,84.45,1058.6,Gradient Boost Classifier,Yes,62.71
9391-DXGGG,2024-08-30,Female,Yes,No,No,44,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),89.15,3990.75,Gradient Boost Classifier,Yes,12.89
9844-FELAJ,2024-08-30,Female,Yes,Yes,Yes,70,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,107.9,7475.85,Gradient Boost Classifier,Yes,20.08
2122-SZZZD,2024-08-30,Male,No,No,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.5,835.5,Gradient Boost Classifier,No,4.16
5307-DZCVC,2024-08-30,Female,Yes,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.95,2628.6,Gradient Boost Classifier,Yes,42.36
3148-AOIQT,2024-08-30,Female,No,Yes,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24.95,1718.35,Gradient Boost Classifier,No,2.03
8679-JOEVF,2024-08-30,Female,Yes,No,No,16,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,59.4,1023.9,Gradient Boost Classifier,Yes,26.17
8395-ETZKQ,2024-08-30,Male,Yes,Yes,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.5,1193.55,Gradient Boost Classifier,No,4.64
6692-YQHXC,2024-08-30,Male,No,No,No,16,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),69.95,1205.5,Gradient Boost Classifier,Yes,45.35
3889-VWBID,2024-08-30,Male,No,Yes,Yes,68,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),82.85,5776.45,Gradient Boost Classifier,No,1.86
5222-JCXZT,2024-08-30,Male,No,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.0,78.9,Gradient Boost Classifier,Yes,15.06
9754-CLVZW,2024-08-30,Female,No,Yes,Yes,26,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),38.85,1025.15,Gradient Boost Classifier,No,8.92
1432-FPAXX,2024-08-30,Female,No,No,No,29,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,30.6,856.35,Gradient Boost Classifier,Yes,27.5
2739-CCZMB,2024-08-30,Male,No,No,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.35,122.0,Gradient Boost Classifier,Yes,12.5
7080-TNUWP,2024-08-30,Male,No,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),95.0,6602.9,Gradient Boost Classifier,Yes,18.62
0496-AHOOK,2024-08-30,Male,No,Yes,No,24,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),74.4,1712.9,Gradient Boost Classifier,No,4.49
